Team ,Winning Percentage ,Conference ,Rushing Yards (Defense) ,Representation in press top 25 ,Championship History ,Fumbles lost ,Net Punting,Completion Percentage ,Average Team Sacks 
Bowling Green,0.429,MAC ,1251,no ,no,5,42.27,0.671,2.71
California,0.429,ACC,732,no ,no,5,41.83,0.662,2.86
Central Mich.,0.429,MAC ,1207,no ,no,5,37.8,0.584,2.71
Charlotte,0.429,AAC ,1263,no ,no,5,37.75,0.556,1.57
East Carolina,0.429,AAC,1186,no ,no,5,39.24,0.586,1.86
Kentucky,0.429,SEC,733,no ,no,5,39.96,0.545,2.14
Miami (OH),0.429,MAC ,1115,no ,no,5,38.54,0.571,1.57
New Mexico,0.429,CUSA ,1681,no ,no,3,37.24,0.59,1.14
North Carolina,0.429,ACC,1122,no ,no,5,35.48,0.566,2.14
Northwestern,0.429,BIG 10 ,724,no ,no,4,38.25,0.529,2.43
Oklahoma St.,0.429,BIG 12 ,1665,no ,no,1,43.1,0.584,1.71
Old Dominion,0.429,SUN BELT ,1133,no ,no,7,36.82,0.544,2.29
South Alabama,0.429,SUN BELT ,823,no ,no,5,35.68,0.636,1.29
South Fla.,0.429,AAC ,961,no ,no,6,41.9,0.562,2
Southern California,0.429,BIG 10 ,967,no ,no,5,46.24,0.643,1.14
UCF,0.429,BIG 12 ,803,no ,no,6,38.96,0.564,1.14
UTSA,0.429,AAC,672,no ,no,5,38.29,0.606,2.71
Wake Forest,0.429,ACC,1107,no ,no,3,43.11,0.606,1.14
West Virginia,0.429,BIG 12 ,894,no ,no,3,40.06,0.562,1.86
Nevada,0.375,MOUNTAIN WEST ,1152,no ,no,1,38.21,0.673,1.12
App State,0.333,SUN BELT ,1255,no ,no,4,34.7,0.552,1.33
Georgia St.,0.333,SUN BELT ,1169,no ,no,3,40.75,0.596,1.5
Louisiana Tech,0.333,CUSA ,625,no ,no,8,36.68,0.588,2
Auburn,0.286,SEC ,827,no ,no,7,43.41,0.603,2.43
Ball St.,0.286,MAC ,1269,no ,no,1,36.44,0.66,2.14
FIU,0.286,CUSA ,1422,no ,no,6,37.71,0.631,1.57
Fla. Atlantic,0.286,AAC,1405,no ,no,3,38.77,0.602,1.29
Hawaii,0.286,MOUNTAIN WEST ,959,no ,no,3,42.68,0.61,2.14
Houston,0.286,BIG 12 ,1020,no ,no,4,38.38,0.667,1.43
Kansas,0.286,BIG 12 ,1041,no ,no,3,35.14,0.574,2.29
Middle Tenn.,0.286,CUSA ,1138,no ,no,7,40.42,0.629,1.71
New Mexico St.,0.286,CUSA,1631,no ,no,6,39.64,0.433,1.43
Rice,0.286,AAC ,1100,no ,no,4,37.79,0.614,3.14
Stanford,0.286,ACC ,849,no ,no,3,38.77,0.578,1.71
Temple,0.286,AAC ,1478,no ,no,8,38.33,0.623,1.43
Tulsa,0.286,AAC ,672,no ,no,3,33.47,0.588,1.57
UCLA,0.286,BIG 10 ,690,no ,no,3,41.5,0.655,1.43
